SMILES,Ingre_ID,Canonical_SMILES
CCCCCCC/C=C/C(=O)OCC,10528,CCCCCCC/C=C/C(=O)OCC
CCCCCCC/C=C/C(=O)OC,10529,CCCCCCC/C=C/C(=O)OC
O=C1C=C(CCC1C)C(=C)C,10530,O=C1C=C(CCC1C)C(=C)C
CC(C(=O)O)C,10531,CC(C(=O)O)C
OC(C(N(C)C)C)c1ccccc1,10532,OC(C(N(C)C)C)c1ccccc1
CNC(C(c1ccccc1)OC(=O)c1ccccc1)C,10533,CNC(C(c1ccccc1)OC(=O)c1ccccc1)C
CC(=O)/C=C\C1C(=CCCC1(C)C)C,10534,CC(=O)/C=C\C1C(=CCCC1(C)C)C
Oc1ccc(cc1)C1Oc2cc(O)cc(c2C(C1O)O)O,10535,Oc1ccc(cc1)C1Oc2cc(O)cc(c2C(C1O)O)O
CC1CC=Cc2c1c(C)ccc2C,10536,CC1CC=Cc2c1c(C)ccc2C
CCCCCCCCCCCCCCCCCCCC[Si](Cl)(Cl)Cl,10537,CCCCCCCCCCCCCCCCCCCC[Si](Cl)(Cl)Cl
CCC/C=C/Cc1ccc(cc1C)C,10538,CCC/C=C/Cc1ccc(cc1C)C
OCC1CCC(C=C1)C(C)C,10539,OCC1CCC(C=C1)C(C)C
CC1CCC23C1CC(C3(C)C)CCC2C,10540,CC1CCC23C1CC(C3(C)C)CCC2C
C/C=C/C1CCCC(CC1C=C)C,10541,C/C=C/C1CCCC(CC1C=C)C
CCCCCCCCCCCCCC(=O)OC(C)C,10542,CCCCCCCCCCCCCC(=O)OC(C)C
C=CC1(C)CCCC(O1)(C)C,10543,C=CC1(C)CCCC(O1)(C)C
CC1CCC23CC1C(C)(C)C2CCC13CO1,10544,CC1CCC23CC1C(C)(C)C2CCC13CO1
COC(=O)c1cc(OC)c(c2c1c(cc1c2cccc1)[NH+](O)[O-])OC,10545,COC(=O)c1cc(OC)c(c2c1c(cc1c2cccc1)[NH+](O)[O-])OC
OC1CCC2(C(C1(C)C)CCC1(C2CC=C2C1(C)CCC1(C2CC(C)(CC1)C(=O)O)C(=O)O)C)C,10546,OC1CCC2(C(C1(C)C)CCC1(C2CC=C2C1(C)CCC1(C2CC(C)(CC1)C(=O)O)C(=O)O)C)C
OC1CCC2(C(C1(C)C)CCC1(C2CC=C2C1(C)CCC1(C2CC(C)(C)CC1)C)C)C,10547,OC1CCC2(C(C1(C)C)CCC1(C2CC=C2C1(C)CCC1(C2CC(C)(C)CC1)C)C)C
OCC1OC(Oc2cc(OC)c3c(c2)c2c4OCOc4cc(c2c(c3)[NH+](O)[O-])C(=O)O)C(C(C1O)O)O,10548,OCC1OC(Oc2cc(OC)c3c(c2)c2c4OCOc4cc(c2c(c3)[NH+](O)[O-])C(=O)O)C(C(C1O)O)O
COc1cccc2c1cc(C(=O)O)c1c2c2OCOc2cc1C(=O)O,10549,COc1cccc2c1cc(C(=O)O)c1c2c2OCOc2cc1C(=O)O
[O-][NH+](c1cc2ccccc2c2c1c(cc1c2OCO1)C(=O)O)O,10550,[O-][NH+](c1cc2ccccc2c2c1c(cc1c2OCO1)C(=O)O)O
COC1CCC2C(C1O)C1C(O)C(OC)CC3C1[C-](C2)[N+](C)(C)CC3,10551,COC1CCC2C(C1O)C1C(O)C(OC)CC3C1[C-](C2)[N+](C)(C)CC3
OCC1(C)C(O)CCC2(C1CCC1(C2CC=C2C1(C)CCC1(C2CC(=C)CC1)C(=O)O)C)C,10552,OCC1(C)C(O)CCC2(C1CCC1(C2CC=C2C1(C)CCC1(C2CC(=C)CC1)C(=O)O)C)C
OCC1OC(OC2=Cc3c(cc(cc3[OH+][C-]2c2ccc(c(c2)O)O)O)OC2OC(CO)C(C(C2O)O)O)C(C(C1O)O)O,10553,OCC1OC(OC2=Cc3c(cc(cc3[OH+][C-]2c2ccc(c(c2)O)O)O)OC2OC(CO)C(C(C2O)O)O)C(C(C1O)O)O
OC(=O)C12CCC3(C(=CCC4C3(C)CCC3C4(C)CCC(=O)C3(C)C)C2CC(CC1)(C)C)C,10554,OC(=O)C12CCC3(C(=CCC4C3(C)CCC3C4(C)CCC(=O)C3(C)C)C2CC(CC1)(C)C)C
OCC1(C)CCC2(C(C1)C1=CCC3C(C1(CC2)C)(C)CCC1C3(C)CCC(C1(C)C)O)C(=O)O,10555,OCC1(C)CCC2(C(C1)C1=CCC3C(C1(CC2)C)(C)CCC1C3(C)CCC(C1(C)C)O)C(=O)O
C=C1CCC2(C(C1)C1=CCC3C(C1(CC2)C)(C)CCC1C3(C)CCC(C1(C)C)O)C(=O)O,10556,C=C1CCC2(C(C1)C1=CCC3C(C1(CC2)C)(C)CCC1C3(C)CCC(C1(C)C)O)C(=O)O
OCC1OC(OCC2OC(OC(=O)C34CCC(CC4C4=CCC5C(C4(CC3)C)(C)CCC3C5(C)CCC(C3(C)C)OC3OCC(C(C3OC3OC(C)C(C(C3O)O)O)O)O)(C)C)C(C(C2O)O)O)C(C(C1OC1OC(C)C(C(C1O)O)O)O)O,10557,OCC1OC(OCC2OC(OC(=O)C34CCC(CC4C4=CCC5C(C4(CC3)C)(C)CCC3C5(C)CCC(C3(C)C)OC3OCC(C(C3OC3OC(C)C(C(C3O)O)O)O)O)(C)C)C(C(C2O)O)O)C(C(C1OC1OC(C)C(C(C1O)O)O)O)O
CCCCC/C=C\C/C=C\CCCCCO,10558,CCCCC/C=C\C/C=C\CCCCCO
c1ccc2c(c1)c1[nH]c3c(c1cc2)cccc3,10559,c1ccc2c(c1)c1[nH]c3c(c1cc2)cccc3
OCC(=C)C1CCC2(C(=C(C)CCC2)C1)C,10560,OCC(=C)C1CCC2(C(=C(C)CCC2)C1)C
C/C=C(\C(=C\C)\C)/C,10561,C/C=C(\C(=C\C)\C)/C
CCC=C=CCC(C)C,10562,CCC=C=CCC(C)C
CC(=C)/C=C(/C12OC2(C)C=CCC1(C)C)\C,10563,CC(=C)/C=C(/C12OC2(C)C=CCC1(C)C)\C
CC1CCCC2(C1=CC1C(C2)OC(=O)C1=C)C,10564,CC1CCCC2(C1=CC1C(C2)OC(=O)C1=C)C
CC1CCC2C(C3(C1C=CC3=O)C)OC(=O)C2=C,10565,CC1CCC2C(C3(C1C=CC3=O)C)OC(=O)C2=C
COC(=O)C12CCC(C2C2C(CC1)(C)C1(C)CCC3C(C1CC2)(C)CCC(C3(C)C)O)C(=C)C,10566,COC(=O)C12CCC(C2C2C(CC1)(C)C1(C)CCC3C(C1CC2)(C)CCC(C3(C)C)O)C(=C)C
CC1=CCCC=C(C2C(C1)C(C2)(C)C)C,10567,CC1=CCCC=C(C2C(C1)C(C2)(C)C)C
OC1CC23CC(C1=C)C(C3CCC2C)(C)C,10568,OC1CC23CC(C1=C)C(C3CCC2C)(C)C
NCCO,10569,NCCO
C=C1CCCC2(C1CC(CC2)C(=C)C(=O)O)C,10570,C=C1CCCC2(C1CC(CC2)C(=C)C(=O)O)C
C/C/1=C\C2OC(=O)C(=C)C2CC/C(=C/CC1)/C,10571,C/C/1=C\C2OC(=O)C(=C)C2CC/C(=C/CC1)/C
C/C/1=C\C2OC(=O)C(=C)C2CC/C(=C/CC1)/C,10572,C/C/1=C\C2OC(=O)C(=C)C2CC/C(=C/CC1)/C
CC1=C(C)CCCC1,10573,CC1=C(C)CCCC1
O/C=C(/C(=O)OC1CC(=C)C2C(C3C1C(=C)C(=O)O3)C(=C)C(C2)O)\C,10574,O/C=C(/C(=O)OC1CC(=C)C2C(C3C1C(=C)C(=O)O3)C(=C)C(C2)O)\C
CC(=O)CCC1C(=CCCC1(C)C)C,10575,CC(=O)CCC1C(=CCCC1(C)C)C
C/C/1=C\C2OC(=O)C(C2CC/C(=C\CC1)/C)C,10576,C/C/1=C\C2OC(=O)C(C2CC/C(=C\CC1)/C)C
C=C1C(=O)OC2C1CC=C(C1C2C(=C)CC1)C,10577,C=C1C(=O)OC2C1CC=C(C1C2C(=C)CC1)C
CC(=C)C1CCC2=CCCC(C2(C1)C)C,10578,CC(=C)C1CCC2=CCCC(C2(C1)C)C
CC1CCCC2(C1=CC1C(C2)OC(=O)C1=C)C,10579,CC1CCCC2(C1=CC1C(C2)OC(=O)C1=C)C
C=CCc1ccc(c(c1)OC)OC(=O)C,10580,C=CCc1ccc(c(c1)OC)OC(=O)C
CC1/C=C/C(C)(C)CCC/C(=C\C(C1)C)/C,10581,CC1/C=C/C(C)(C)CCC/C(=C\C(C1)C)/C
O=C1OC2C(C1=C)CC1C(C2)(C)CCCC1=C,10582,O=C1OC2C(C1=C)CC1C(C2)(C)CCCC1=C
CC1CCC/C(=C/C2C(CC1)C(=O)C(=O)O2)/C,10583,CC1CCC/C(=C/C2C(CC1)C(=O)C(=O)O2)/C
OC1CC2C(C1=C)C1OC(=O)C(=C)C1CCC2=C,10584,OC1CC2C(C1=C)C1OC(=O)C(=C)C1CCC2=C
C=C1CC2C(C1)C1OC(=O)C(C1CCC2=C)(O)CC1(C)CCC(=O)C2(C1C1OC(=O)C(=C)C1CC2)C,10585,C=C1CC2C(C1)C1OC(=O)C(C1CCC2=C)(O)CC1(C)CCC(=O)C2(C1C1OC(=O)C(=C)C1CC2)C
OCC1OC(OC/C/2=C\C3OC(=O)C(=C)C3CC/C(=C/CC2)/C)C(C(C1O)O)O,10586,OCC1OC(OC/C/2=C\C3OC(=O)C(=C)C3CC/C(=C/CC2)/C)C(C(C1O)O)O
C/C/1=C\CC/C=C/C2C(CC1)C(=C)C(=O)O2,10587,C/C/1=C\CC/C=C/C2C(CC1)C(=C)C(=O)O2
C=C1CCC(C2(C1C1OC(=O)C(=C)C1CC2)C)O,10588,C=C1CCC(C2(C1C1OC(=O)C(=C)C1CC2)C)O
CC1=CCC(C2(C1C1OC(=O)C(=C)C1CC2)C)O,10589,CC1=CCC(C2(C1C1OC(=O)C(=C)C1CC2)C)O
C=C1CCC2C(C3C1CCC3(C)O)C2(C)C,10590,C=C1CCC2C(C3C1CCC3(C)O)C2(C)C
Oc1ccc(cc1)C[CH-][N+](C)(C)C,10591,Oc1ccc(cc1)C[CH-][N+](C)(C)C
OCC12C(C=C(C(=O)C1O)C)OC1C3(C2(C)CC1O)CO3,10592,OCC12C(C=C(C(=O)C1O)C)OC1C3(C2(C)CC1O)CO3
OCCO,10593,OCCO
NC(=O)CCC(C(=O)N1CCCC1C(=O)NC(C(=O)O)CCC(=O)N)NC(=O)C1CCCN1C(=O)C(Cc1ccc(cc1)O)N,10594,NC(=O)CCC(C(=O)N1CCCC1C(=O)NC(C(=O)O)CCC(=O)N)NC(=O)C1CCCN1C(=O)C(Cc1ccc(cc1)O)N
O=C(/C=C/c1ccc2c(c1)C(C(=O)NCCCC[NH2+][C-](N)N)C(O2)c1ccc(cc1)O)NCCCC[NH2+][C-](N)N,10595,O=C(/C=C/c1ccc2c(c1)C(C(=O)NCCCC[NH2+][C-](N)N)C(O2)c1ccc(cc1)O)NCCCC[NH2+][C-](N)N
COc1cc(/C=C/C(=O)NCCCCN=C(N)N)cc2c1OC(C2C(=O)NCCCCN=C(N)N)c1ccc(cc1)O,10596,COc1cc(/C=C/C(=O)NCCCCN=C(N)N)cc2c1OC(C2C(=O)NCCCCN=C(N)N)c1ccc(cc1)O
OCCCO,10597,OCCCO
CCCCCCCCCCCCCCCCCC(=O)OCC(OC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(OCC(C(=O)O)N)O,10598,CCCCCCCCCCCCCCCCCC(=O)OCC(OC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(OCC(C(=O)O)N)O
OC(=O)C1CCCN1,10599,OC(=O)C1CCCN1
OCCCCO,10600,OCCCCO
NCCCCN,10601,NCCCCN
COc1cc2OC3C(c2c2c1c(=O)c1c(o2)cccc1O)C=CO3,10602,COc1cc2OC3C(c2c2c1c(=O)c1c(o2)cccc1O)C=CO3
CCCCCCC(C(/C=C/C(CCCCCCC(=O)O)O)O)O,10603,CCCCCCC(C(/C=C/C(CCCCCCC(=O)O)O)O)O
NCCc1c[nH]c2c1cccc2,10604,NCCc1c[nH]c2c1cccc2
