SMILES,Ingre_ID,Canonical_SMILES
Oc1cc2[OH+][C-](c3ccccc3)C(=Cc2c(c1)O)O,1,Oc1cc2[OH+][C-](c3ccccc3)C(=Cc2c(c1)O)O
OC1=C[C-]2[OH+]C(=C(C=C2C(=C1)O)O)c1ccc(c(c1)O)O,2,OC1=C[C-]2[OH+]C(=C(C=C2C(=C1)O)O)c1ccc(c(c1)O)O
OCC(C(C(C(CO)O)O)O)O,3,OCC(C(C(C(CO)O)O)O)O
Oc1cc(O)c2c(c1)OC(C(C2c1c(O)cc(c2c1OC(C(C2)O)c1ccc(c(c1)O)O)O)O)c1ccc(c(c1)O)O,4,Oc1cc(O)c2c(c1)OC(C(C2c1c(O)cc(c2c1OC(C(C2)O)c1ccc(c(c1)O)O)O)O)c1ccc(c(c1)O)O
COc1c(O)cc(cc1O)C1Oc2c(CC1O)c(O)cc(c2C1C(O)C(Oc2c1c(O)cc(c2)O)c1ccc(cc1)O)O,5,COc1c(O)cc(cc1O)C1Oc2c(CC1O)c(O)cc(c2C1C(O)C(Oc2c1c(O)cc(c2)O)c1ccc(cc1)O)O
Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,6,Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O
OCC1OC(Oc2cc(O)c3c(c2)oc(cc3=O)c2ccc(cc2)O)C(C(C1O)O)O,7,OCC1OC(Oc2cc(O)c3c(c2)oc(cc3=O)c2ccc(cc2)O)C(C(C1O)O)O
Oc1ccc(cc1)c1cc(=O)c2c(o1)cc(cc2O)O,8,Oc1ccc(cc1)c1cc(=O)c2c(o1)cc(cc2O)O
OCC1OC(Oc2cc(O)c3c(c2)oc(cc3=O)c2ccc(c(c2)O)O)C(C(C1O)O)O,9,OCC1OC(Oc2cc(O)c3c(c2)oc(cc3=O)c2ccc(c(c2)O)O)C(C(C1O)O)O
OCC1OC(Oc2cc(O)c3c(c2)oc(cc3=O)c2ccc(cc2)O)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O,10,OCC1OC(Oc2cc(O)c3c(c2)oc(cc3=O)c2ccc(cc2)O)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O
OCC1Oc2c(OC1c1ccc(c(c1)OC)O)c(OC)cc1c2oc(=O)cc1,11,OCC1Oc2c(OC1c1ccc(c(c1)OC)O)c(OC)cc1c2oc(=O)cc1
CCCCCCCCCCCCCCCCCCCC(=O)O,12,CCCCCCCCCCCCCCCCCCCC(=O)O
OCC1OC(S/C(=C/OS(=O)(=O)O)/C)C(C(C1O)O)O,13,OCC1OC(S/C(=C/OS(=O)(=O)O)/C)C(C(C1O)O)O
OCC1OC(C/C(=N/OS(=O)(=O)O)/Cc2c[nH]c3c2cccc3)C(C(C1O)O)O,14,OCC1OC(C/C(=N/OS(=O)(=O)O)/Cc2c[nH]c3c2cccc3)C(C(C1O)O)O
OCC1OC(S/C(=N/OS(=O)(=O)O)/CCCS(=O)C)C(C(C1O)O)O,15,OCC1OC(S/C(=N/OS(=O)(=O)O)/CCCS(=O)C)C(C(C1O)O)O
CS(=O)CCC/C(=N\OS(=O)(=O)O)/S,16,CS(=O)CCC/C(=N\OS(=O)(=O)O)/S
OCC1OC(S/C(=N\OS(=O)(=O)O)/Cc2cn(c3c2cccc3)OC)C(C(C1O)O)O,17,OCC1OC(S/C(=N\OS(=O)(=O)O)/Cc2cn(c3c2cccc3)OC)C(C(C1O)O)O
OC1CC2C(C1(C)CC2)(C)C,18,OC1CC2C(C1(C)CC2)(C)C
C=C1C2CCC(C1(C)C)C2,19,C=C1C2CCC(C1(C)C)C2
OCCC(OC(=O)C=C(C)C)/C=C/C=C/C#CC#C/C=C\CO,20,OCCC(OC(=O)C=C(C)C)/C=C/C=C/C#CC#C/C=C\CO
OC/C=C\C#CC#C/C=C/C=C/C(OC(=O)C=C(C)C)CCOC(=O)C,21,OC/C=C\C#CC#C/C=C/C=C/C(OC(=O)C=C(C)C)CCOC(=O)C
OC/C=C/C#CC#C/C=C\C=C\C(OC(=O)C=C(C)C)CCOC(=O)C,22,OC/C=C/C#CC#C/C=C\C=C\C(OC(=O)C=C(C)C)CCOC(=O)C
CC1=CCC(CC1)C(=C)C,23,CC1=CCC(CC1)C(=C)C
C/C/1=C\CC(C)(C)/C=C/C/C(=C\CC1)/C,24,C/C/1=C\CC(C)(C)/C=C/C/C(=C\CC1)/C
CC1=CCC2C3C1C2(C)CCCC3(C)C,25,CC1=CCC2C3C1C2(C)CCCC3(C)C
CCC(C(C)C)/C=C/C(C1CCC2C1(C)CCC1C2CCC2C1(C)CCC(C2)O)C,26,CCC(C(C)C)/C=C/C(C1CCC2C1(C)CCC1C2CCC2C1(C)CCC(C2)O)C
CC(=CCCC(c1ccc(cc1)C)C)C,27,CC(=CCCC(c1ccc(cc1)C)C)C
CC1CCC2(C(C1C)C1=CCC3C(C1(CC2)C)(C)CCC1C3(C)CCC(C1(C)C)O)C,28,CC1CCC2(C(C1C)C1=CCC3C(C1(CC2)C)(C)CCC1C3(C)CCC(C1(C)C)O)C
C=C1CCC/C(=C/CC(/C=C/C1)(C)C)/C,29,C=C1CCC/C(=C/CC(/C=C/C1)(C)C)/C
OC(c1ccccc1)C(=C)C,30,OC(c1ccccc1)C(=C)C
CC(C1CCC(=C)C=C1)CCC=C(C)C,31,CC(C1CCC(=C)C=C1)CCC=C(C)C
C=C1CCCC2(C1CC(CC2)C(O)(C)C)C,32,C=C1CCCC2(C1CC(CC2)C(O)(C)C)C
CCCC(C(C)C)CCC(C1CCC2C1(C)CCC1C2CC=C2C1(C)CCC(C2)O)C,33,CCCC(C(C)C)CCC(C1CCC2C1(C)CCC1C2CC=C2C1(C)CCC(C2)O)C
C=CC1(C)CCC(CC1C(=C)C)C(O)(C)C,34,C=CC1(C)CCC(CC1C(=C)C)C(O)(C)C
C=C1CCCC2(C1CC(CC2)C(=C)C)C,35,C=C1CCCC2(C1CC(CC2)C(=C)C)C
CC1=CCCC(=C)C2C(CC1)C(C2)(C)C,36,CC1=CCCC(=C)C2C(CC1)C(C2)(C)C
C=CC1(C)CCC(=C(C)C)CC1C(=C)C,37,C=CC1(C)CCC(=C(C)C)CC1C(=C)C
c1ccc2c(c1)nc1c(c2)cccc1,38,c1ccc2c(c1)nc1c(c2)cccc1
CC(=C)C1CCC(C(C1)O)C,39,CC(=C)C1CCC(C(C1)O)C
COc1cc2ccc(=O)oc2cc1O,40,COc1cc2ccc(=O)oc2cc1O
NC(C(=O)O)Cc1ccccc1,41,NC(C(=O)O)Cc1ccccc1
CC(C(=O)O)N,42,CC(C(=O)O)N
C=C1CCCC2(C1CC1=C(C)C(=O)OC1=C2)C,43,C=C1CCCC2(C1CC1=C(C)C(=O)OC1=C2)C
C=C1CCCC2(C1CC1=C(C)C(=O)OC1C2)C,44,C=C1CCCC2(C1CC1=C(C)C(=O)OC1C2)C
C=C1CCCC2(C1CC1=C(C)C(=O)OC1(C2)O)C,45,C=C1CCCC2(C1CC1=C(C)C(=O)OC1(C2)O)C
C=C1CCCC2(C1Cc1c(C2)occ1C)C,46,C=C1CCCC2(C1Cc1c(C2)occ1C)C
CC(=C1CCC2(C(C1)C(C)(O)CCC2)C)C,47,CC(=C1CCC2(C(C1)C(C)(O)CCC2)C)C
C/C/1=C\Cc2c(C/C(=C\CC1)/C)occ2C,48,C/C/1=C\Cc2c(C/C(=C\CC1)/C)occ2C
CC(=O)OC1CCC2(C(C1=C)Cc1c(C2)occ1C)C,49,CC(=O)OC1CCC2(C(C1=C)Cc1c(C2)occ1C)C
NCC(=O)O,50,NCC(=O)O
OCC(C(C(C(C=O)O)O)O)O,51,OCC(C(C(C(C=O)O)O)O)O
OC(=O)CCC(C(=O)O)N,52,OC(=O)CCC(C(=O)O)N
OCC(C(C(C(=O)CO)O)O)O,53,OCC(C(C(C(=O)CO)O)O)O
NC(=N)NCCCC(C(=O)O)N,54,NC(=N)NCCCC(C(=O)O)N
NCCCCC(C(=O)O)N,55,NCCCCC(C(=O)O)N
OC(=O)C(Cc1ccc(cc1)O)N,56,OC(=O)C(Cc1ccc(cc1)O)N
CC(COC(=O)c1ccccc1C(=O)OCC(C)C)C,57,CC(COC(=O)c1ccccc1C(=O)OCC(C)C)C
CC1CCC=C(C21CCC(C2)C(O)(C)C)C,58,CC1CCC=C(C21CCC(C2)C(O)(C)C)C
OCC1OC(C(C1O)O)n1ccc(=O)[nH]c1=O,59,OCC1OC(C(C1O)O)n1ccc(=O)[nH]c1=O
C=C1CCCC2(C1CC(=C(C)C)C(=O)C2)C,60,C=C1CCCC2(C1CC(=C(C)C)C(=O)C2)C
OC(=O)C1CCCN1,61,OC(=O)C1CCCN1
C=C1CCCC2(C1CC1=C(C)C(=O)OC1(C2)C12OC(=O)C(=C2CC2C(C1)(C)CCCC2=C)C)C,62,C=C1CCCC2(C1CC1=C(C)C(=O)OC1(C2)C12OC(=O)C(=C2CC2C(C1)(C)CCCC2=C)C)C
C=C1CCCC2(C1CC1=C(C)C(=O)OC1(C2)C12OC(=O)C(=C2CC2C(C1)(C)CCCC2=C)C)C,63,C=C1CCCC2(C1CC1=C(C)C(=O)OC1(C2)C12OC(=O)C(=C2CC2C(C1)(C)CCCC2=C)C)C
OCC(C(=O)O)N,64,OCC(C(=O)O)N
OC(=O)CC(C(=O)O)N,65,OC(=O)CC(C(=O)O)N
CC1CCC2C1C1C(C1(C)C)CCC2=C,66,CC1CCC2C1C1C(C1(C)C)CCC2=C
NC(C(=O)O)C(C)C,67,NC(C(=O)O)C(C)C
CCC(C(C(=O)O)N)C,68,CCC(C(C(=O)O)N)C
CCCCCCCCCCCCCCCC(=O)O,69,CCCCCCCCCCCCCCCC(=O)O
CCOC(=O)CC(=O)C(C)(C)C,70,CCOC(=O)CC(=O)C(C)(C)C
NC(C(=O)O)Cc1c[nH]cn1,71,NC(C(=O)O)Cc1c[nH]cn1
CCOC12OC(=O)C(=C2CC2C(C1)(C)CCCC2=C)C,72,CCOC12OC(=O)C(=C2CC2C(C1)(C)CCCC2=C)C
Oc1cc2OC(c3ccc(c(c3)O)O)C(Cc2c(c1)O)O,73,Oc1cc2OC(c3ccc(c(c3)O)O)C(Cc2c(c1)O)O
O=C(CCc1ccc(cc1)O)/C=C/C=C/c1ccc(cc1)O,74,O=C(CCc1ccc(cc1)O)/C=C/C=C/c1ccc(cc1)O
COc1cc(/C=C/C=C/C(=O)CCc2ccc(cc2)O)ccc1O,75,COc1cc(/C=C/C=C/C(=O)CCc2ccc(cc2)O)ccc1O
COc1cc(CCC(=O)/C=C/C=C/c2ccc(c(c2)OC)O)ccc1O,76,COc1cc(CCC(=O)/C=C/C=C/c2ccc(c(c2)OC)O)ccc1O
COc1cccc(c1O)OC,77,COc1cccc(c1O)OC
C/C(=C\C(=O)O)/CCC(C(O)(C)C)O,78,C/C(=C\C(=O)O)/CCC(C(O)(C)C)O
O=Cc1cc(O)c(c2c1CCC2)O,79,O=Cc1cc(O)c(c2c1CCC2)O
OC(CC(=O)C)CCc1ccc(cc1)O,80,OC(CC(=O)C)CCc1ccc(cc1)O
O=Cc1cc(O)cc2c1CCC2,81,O=Cc1cc(O)cc2c1CCC2
OC(CC(CCc1ccc(cc1)O)O)CCc1ccc(cc1)O,82,OC(CC(CCc1ccc(cc1)O)O)CCc1ccc(cc1)O
OC/C=C(/CC/C=C(/C=O)\C)\C,83,OC/C=C(/CC/C=C(/C=O)\C)\C
CCC(C(C)C)CCC(C1CCC2C1(C)CCC1C2CC=C2C1(C)CCC(C2)OC1OC(CO)C(C(C1O)O)O)C,84,CCC(C(C)C)CCC(C1CCC2C1(C)CCC1C2CC=C2C1(C)CCC(C2)OC1OC(CO)C(C(C1O)O)O)C
CCC(C(C)C)CCC(C1CCC2C1(C)CCC1C2CC=C2C1(C)CCC(C2)O)C,85,CCC(C(C)C)CCC(C1CCC2C1(C)CCC1C2CC=C2C1(C)CCC(C2)O)C
CCC(C(C)C)CCC(C1CCC2C1(C)CCC1C2CCC2C1(C)CCC(C2)O)C,86,CCC(C(C)C)CCC(C1CCC2C1(C)CCC1C2CCC2C1(C)CCC(C2)O)C
CCC(C(C)C)CCC(C1CCC2C1(C)CCC1C2CC=C2C1(C)CCC(C2)OC1OC(CO)C(C(C1O)O)O)C,87,CCC(C(C)C)CCC(C1CCC2C1(C)CCC1C2CC=C2C1(C)CCC(C2)OC1OC(CO)C(C(C1O)O)O)C
CCC(C(C)C)CCC(C1CCC2C1(C)CCC1C2CC=C2C1(C)CCC(C2)O)C,88,CCC(C(C)C)CCC(C1CCC2C1(C)CCC1C2CC=C2C1(C)CCC(C2)O)C
Oc1ccccc1O,89,Oc1ccccc1O
COc1cc(/C=C/C(=C/C(=O)/C=C/c2ccc(c(c2)OC)O)/O)ccc1O,90,COc1cc(/C=C/C(=C/C(=O)/C=C/c2ccc(c(c2)OC)O)/O)ccc1O
CCC(C(C)C)CCC(C1CCC2C1(C)CCC1C2CC=C2C1(C)CCC(C2)OC1OC(CO)C(C(C1O)O)O)C,91,CCC(C(C)C)CCC(C1CCC2C1(C)CCC1C2CC=C2C1(C)CCC(C2)OC1OC(CO)C(C(C1O)O)O)C
CCC(C(C)C)CCC(C1CCC2C1(C)CCC1C2CC=C2C1(C)CCC(C2)O)C,92,CCC(C(C)C)CCC(C1CCC2C1(C)CCC1C2CC=C2C1(C)CCC(C2)O)C
CCC(C(C)C)CCC(C1CCC2C1(C)CCC1C2CC=C2C1(C)CCC(C2)OC1OC(CO)C(C(C1O)O)O)C,93,CCC(C(C)C)CCC(C1CCC2C1(C)CCC1C2CC=C2C1(C)CCC(C2)OC1OC(CO)C(C(C1O)O)O)C
CCC(C(C)C)CCC(C1CCC2C1(C)CCC1C2CC=C2C1(C)CCC(C2)O)C,94,CCC(C(C)C)CCC(C1CCC2C1(C)CCC1C2CC=C2C1(C)CCC(C2)O)C
CCC(C(C)C)CCC(C1CCC2C1(C)CCC1C2CCC2C1(C)CCC(C2)O)C,95,CCC(C(C)C)CCC(C1CCC2C1(C)CCC1C2CCC2C1(C)CCC(C2)O)C
Oc1cc2OC(c3ccc(c(c3)O)O)C(Cc2c(c1)O)O,96,Oc1cc2OC(c3ccc(c(c3)O)O)C(Cc2c(c1)O)O
Oc1cc(O)c2c(c1)oc(c(c2=O)O)c1ccc(c(c1)O)O,97,Oc1cc(O)c2c(c1)oc(c(c2=O)O)c1ccc(c(c1)O)O
OC1=CC(=C2[C-](C1)[OH+]C(=C(C2=O)O)c1ccc(c(c1)O)O)O,98,OC1=CC(=C2[C-](C1)[OH+]C(=C(C2=O)O)c1ccc(c(c1)O)O)O
O=CC1=CCC(C2C1CCC2)O,99,O=CC1=CCC(C2C1CCC2)O
OC(CC(CCc1ccc(cc1)O)O)CCc1ccc(cc1)O,100,OC(CC(CCc1ccc(cc1)O)O)CCc1ccc(cc1)O
Oc1ccc(cc1)C(=O)O,101,Oc1ccc(cc1)C(=O)O
CC(C1CC=C(C(C1O)O)C)C,102,CC(C1CC=C(C(C1O)O)C)C
OC(=O)c1ccc(c(c1)O)O,103,OC(=O)c1ccc(c(c1)O)O
Oc1c(O)cccc1O,104,Oc1c(O)cccc1O
OCC1OC(Oc2c(oc3c(c2=O)c(O)cc(c3)O)c2ccc(c(c2)O)O)C(C(C1O)O)O,105,OCC1OC(Oc2c(oc3c(c2=O)c(O)cc(c3)O)c2ccc(c(c2)O)O)C(C(C1O)O)O
Oc1cc(O)c2c(c1)oc(c(c2=O)OC1OC(COC2OC(C)C(C(C2O)O)O)C(C(C1O)O)O)c1ccc(c(c1)O)O,106,Oc1cc(O)c2c(c1)oc(c(c2=O)OC1OC(COC2OC(C)C(C(C2O)O)O)C(C(C1O)O)O)c1ccc(c(c1)O)O
OCC1OC(Oc2c(oc3c(c2=O)c(O)cc(c3)O)c2ccc(c(c2)O)O)C(C(C1O)O)O,107,OCC1OC(Oc2c(oc3c(c2=O)c(O)cc(c3)O)c2ccc(c(c2)O)O)C(C(C1O)O)O
COC1=C([OH+][C-]2C(=C(O)C=C(C2)O)C1=O)c1ccc(c(c1)O)O,108,COC1=C([OH+][C-]2C(=C(O)C=C(C2)O)C1=O)c1ccc(c(c1)O)O
Oc1cc(O)c2c(c1)oc(c(c2=O)OC1OC(COC2OC(C)C(C(C2O)O)O)C(C(C1O)O)O)c1ccc(c(c1)O)O,109,Oc1cc(O)c2c(c1)oc(c(c2=O)OC1OC(COC2OC(C)C(C(C2O)O)O)C(C(C1O)O)O)c1ccc(c(c1)O)O
OCC1OC(Oc2c(oc3c(c2=O)c(O)cc(c3)O)c2ccc(c(c2)O)O)C(C(C1O)O)O,110,OCC1OC(Oc2c(oc3c(c2=O)c(O)cc(c3)O)c2ccc(c(c2)O)O)C(C(C1O)O)O
O=CC1=CCC(C2C1CCC2)O,111,O=CC1=CCC(C2C1CCC2)O
COc1cc(ccc1O)C(=O)O,112,COc1cc(ccc1O)C(=O)O
CCCCCCCC/C=C/C=O,113,CCCCCCCC/C=C/C=O
CCCCCCCCC=O,114,CCCCCCCCC=O
Cc1ccc(cc1)C(C)C,115,Cc1ccc(cc1)C(C)C
CC1=CCC(CC1)C(O)(C)C,116,CC1=CCC(CC1)C(O)(C)C
C=CC(CC/C=C(/CCC=C(C)C)\C)(O)C,117,C=CC(CC/C=C(/CCC=C(C)C)\C)(O)C
CCCCCCC/C=C/C=O,118,CCCCCCC/C=C/C=O
CCCCCCCCCC=O,119,CCCCCCCCCC=O
CC12CCC(CC1)C(O2)(C)C,120,CC12CCC(CC1)C(O2)(C)C
OC/C=C(/CCC=C(C)C)\C,121,OC/C=C(/CCC=C(C)C)\C
O=C/C=C(/CCC=C(C)C)\C,122,O=C/C=C(/CCC=C(C)C)\C
CC1=CCC2CC1C2(C)C,123,CC1=CCC2CC1C2(C)C
C=C1CCC2CC1C2(C)C,124,C=C1CCC2CC1C2(C)C
O=C/C=C(\CCC=C(C)C)/C,125,O=C/C=C(\CCC=C(C)C)/C
C/C(=C\COC(=O)C)/CCC=C(C)C,126,C/C(=C\COC(=O)C)/CCC=C(C)C
CCCCCCCCOC(=O)C,127,CCCCCCCCOC(=O)C
O=C1CC2C(C1(C)CC2)(C)C,128,O=C1CC2C(C1(C)CC2)(C)C
CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,129,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O
OCC1OC(OC2CCC3(C(C2)CCC2C3CCC3(C2CC2C3C(C)C3(O2)OCC(CC3O)C)C)C)C(C(C1O)O)OC1OC(CO)C(C(C1O)O)O,130,OCC1OC(OC2CCC3(C(C2)CCC2C3CCC3(C2CC2C3C(C)C3(O2)OCC(CC3O)C)C)C)C(C(C1O)O)OC1OC(CO)C(C(C1O)O)O
CC(=O)OC1C(=O)C2(C)C(O)CC3C(C2C(C2(C(C1=C(C)C(OC(=O)C(C(c1ccccc1)NC(=O)c1ccccc1)O)C2)(C)C)O)OC(=O)c1ccccc1)(CO3)OC(=O)C,131,CC(=O)OC1C(=O)C2(C)C(O)CC3C(C2C(C2(C(C1=C(C)C(OC(=O)C(C(c1ccccc1)NC(=O)c1ccccc1)O)C2)(C)C)O)OC(=O)c1ccccc1)(CO3)OC(=O)C
CC1CCC2(OC1)OC1C(C2C)C2(C(C1)C1CC=C3C(C1CC2)(C)CCC(=C3)O)C,132,CC1CCC2(OC1)OC1C(C2C)C2(C(C1)C1CC=C3C(C1CC2)(C)CCC(=C3)O)C
O=c1c2ccccc2nc2n1CCC2,133,O=c1c2ccccc2nc2n1CCC2
OCC1OC(OC2CCC3(C(=CCC4C3CCC3(C4CC4C3C(=C(O4)C(CC(COC3OC(CO)C(C(C3O)O)O)C)OC)C)C)C2)C)C(C(C1OC1OC(C)C(C(C1O)O)O)O)OC1OC(C)C(C(C1O)O)O,134,OCC1OC(OC2CCC3(C(=CCC4C3CCC3(C4CC4C3C(=C(O4)C(CC(COC3OC(CO)C(C(C3O)O)O)C)OC)C)C)C2)C)C(C(C1OC1OC(C)C(C(C1O)O)O)O)OC1OC(C)C(C(C1O)O)O
CC1CCC2(OC1)OC1C(C2C)C2(C(C1)C1CC=C3C(C1CC2)(C)CCC(C3)OC(=O)C)C,135,CC1CCC2(OC1)OC1C(C2C)C2(C(C1)C1CC=C3C(C1CC2)(C)CCC(C3)OC(=O)C)C
CCCCCCCCCCCCCCCC(=O)OC1CCC2(C(=CCC3C2CCC2(C3CC3C2C(C)C2(O3)CCC(CO2)C)C)C1)C,136,CCCCCCCCCCCCCCCC(=O)OC1CCC2(C(=CCC3C2CCC2(C3CC3C2C(C)C2(O3)CCC(CO2)C)C)C1)C
Oc1cc(O)cc(c1)C1Oc2cc(O)cc(c2C(=O)C1OC1OC(C)C(C(C1O)O)O)O,137,Oc1cc(O)cc(c1)C1Oc2cc(O)cc(c2C(=O)C1OC1OC(C)C(C(C1O)O)O)O
CC1CCC2(OC1)OC1C(C2C)C2(C(C1)C1CC=C3C(C1CC2)(C)CCC=C3)C,138,CC1CCC2(OC1)OC1C(C2C)C2(C(C1)C1CC=C3C(C1CC2)(C)CCC=C3)C
OCCc1ccc(c(c1)O)O,139,OCCc1ccc(c(c1)O)O
O=C(OCC1OC(OCCc2ccc(c(c2)O)O)C(C(C1O)O)O)/C=C/c1ccc(c(c1)O)O,140,O=C(OCC1OC(OCCc2ccc(c(c2)O)O)C(C(C1O)O)O)/C=C/c1ccc(c(c1)O)O
OCCC(C1(C)CCC2C(=C1)CCC1C2(C)CC(O)CC1(C)CO)O,141,OCCC(C1(C)CCC2C(=C1)CCC1C2(C)CC(O)CC1(C)CO)O
OCC1OC(OCCc2ccc(c(c2)O)O)C(C(C1OC(=O)/C=C/c1ccc(c(c1)OC)O)OC1OC(C)C(C(C1O)O)O)O,142,OCC1OC(OCCc2ccc(c(c2)O)O)C(C(C1OC(=O)/C=C/c1ccc(c(c1)OC)O)OC1OC(C)C(C(C1O)O)O)O
COc1ccc(cc1O)CCOC1OC(COC(=O)/C=C/c2ccc(c(c2)OC)O)C(C(C1O)OC1OC(C)C(C(C1OC(=O)C)OC(=O)C)O)OC(=O)/C=C/c1ccc(c(c1)OC)O,143,COc1ccc(cc1O)CCOC1OC(COC(=O)/C=C/c2ccc(c(c2)OC)O)C(C(C1O)OC1OC(C)C(C(C1OC(=O)C)OC(=O)C)O)OC(=O)/C=C/c1ccc(c(c1)OC)O
OC1C(O)C(O)C(C(C1O)O)O,144,OC1C(O)C(O)C(C(C1O)O)O
OOC(C(=O)C1(OC(CO)C(C(C1O)O)O)Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(cc1)O)C(C(C(O)C)O)O,145,OOC(C(=O)C1(OC(CO)C(C(C1O)O)O)Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(cc1)O)C(C(C(O)C)O)O
COc1ccc(cc1)c1cc(=O)c2c(o1)cc(cc2O)OC1OC(C(=O)O)C(C(C1OC1OC(C(=O)O)C(C(C1O)O)O)O)O,146,COc1ccc(cc1)c1cc(=O)c2c(o1)cc(cc2O)OC1OC(C(=O)O)C(C(C1OC1OC(C(=O)O)C(C(C1O)O)O)O)O
CCC(C(=O)OC1C(O)CC2C3(C1(COC(=O)C)OC3)C(OC(=O)C)C=C(C2(C)C1OC2C(C1)C=CO2)C)(OC(=O)C)C,147,CCC(C(=O)OC1C(O)CC2C3(C1(COC(=O)C)OC3)C(OC(=O)C)C=C(C2(C)C1OC2C(C1)C=CO2)C)(OC(=O)C)C
CCC(C(=O)OC1C(O)CC2C(C31CO3)(COC(=O)C)C(OC(=O)C)CC(C2(C)C1OC2C(C1)C=CO2)C)C,148,CCC(C(=O)OC1C(O)CC2C(C31CO3)(COC(=O)C)C(OC(=O)C)CC(C2(C)C1OC2C(C1)C=CO2)C)C
O=C(OCC1OC(OCCc2ccc(c(c2)O)O)C(C(C1O)OC1OC(C)C(C(C1O)O)O)O)/C=C/c1ccc(c(c1)O)O,149,O=C(OCC1OC(OCCc2ccc(c(c2)O)O)C(C(C1O)OC1OC(C)C(C(C1O)O)O)O)/C=C/c1ccc(c(c1)O)O
OCC1OC(OCCc2ccc(c(c2)O)O)C(C(C1O)OC1OC(C)C(C(C1O)O)O)O,150,OCC1OC(OCCc2ccc(c(c2)O)O)C(C(C1O)OC1OC(C)C(C(C1O)O)O)O
OCC1OC(OCCc2ccc(c(c2)O)O)C(C(C1OC(=O)/C=C/c1ccc(c(c1)O)O)O)O,151,OCC1OC(OCCc2ccc(c(c2)O)O)C(C(C1OC(=O)/C=C/c1ccc(c(c1)O)O)O)O
O=C(OCC1OC(OCCc2ccc(c(c2)O)O)C(C(C1O)O)O)/C=C/c1ccc(c(c1)O)O,152,O=C(OCC1OC(OCCc2ccc(c(c2)O)O)C(C(C1O)O)O)/C=C/c1ccc(c(c1)O)O
O=C(OCC1OC(OCCc2ccc(c(c2)O)O)C(C(C1O)OC1OC(C)C(C(C1O)O)O)O)/C=C/c1ccc(c(c1)O)O,153,O=C(OCC1OC(OCCc2ccc(c(c2)O)O)C(C(C1O)OC1OC(C)C(C(C1O)O)O)O)/C=C/c1ccc(c(c1)O)O
OCC1(C)CC(O)CC2(C1CCC1=CC(CCC21)(C)C1COC(O1)(C)C)C,154,OCC1(C)CC(O)CC2(C1CCC1=CC(CCC21)(C)C1COC(O1)(C)C)C
CC1=CCC2(CC1)C(=C)CCCC2(C)C,155,CC1=CCC2(CC1)C(=C)CCCC2(C)C
C/C=C/C#CC#C/C=C/c1ccco1,156,C/C=C/C#CC#C/C=C/c1ccco1
C=C1CCCC2(C1Cc1c(C2)occ1C)C,157,C=C1CCCC2(C1Cc1c(C2)occ1C)C
CC1CCC=C(C21CCC(C2)C(O)(C)C)C,158,CC1CCC=C(C21CCC(C2)C(O)(C)C)C
CC(=CCCC(C1CCC(=CC1)C)(O)C)C,159,CC(=CCCC(C1CCC(=CC1)C)(O)C)C
C=C1C(O)CCC2(C1Cc1c(C)coc1C2)C,160,C=C1C(O)CCC2(C1Cc1c(C)coc1C2)C
CC1=CC2C(CC1)C2(C)C,161,CC1=CC2C(CC1)C2(C)C
CC(=C)C1CCC(C2=C(C1)C(C)CC2)C,162,CC(=C)C1CCC(C2=C(C1)C(C)CC2)C
CC(=C1CCC(C2=C(C1)C(C)CC2)C)C,163,CC(=C1CCC(C2=C(C1)C(C)CC2)C)C
CC1CCC(CC2=C1CCC2C)C(O)(C)C,164,CC1CCC(CC2=C1CCC2C)C(O)(C)C
O=Cc1ccco1,165,O=Cc1ccco1
COc1c(O)cc(c2c1oc(cc2=O)c1ccccc1)O,166,COc1c(O)cc(c2c1oc(cc2=O)c1ccccc1)O
OC/C=C/C#CC#C/C=C/c1ccco1,167,OC/C=C/C#CC#C/C=C/c1ccco1
CC1=C2CC3C(C2(CC1)C(C)CC3)(C)C,168,CC1=C2CC3C(C2(CC1)C(C)CC3)(C)C
C=C1CCCC2(C1CC1=C(C)C(=O)OC1(C2)O)C,169,C=C1CCCC2(C1CC1=C(C)C(=O)OC1(C2)O)C
CC(=CCc1cc(cc2c1OC(C2O)C(O)(C)C)C(=O)O)C,170,CC(=CCc1cc(cc2c1OC(C2O)C(O)(C)C)C(=O)O)C
C=C1CCCC2(C1CC1C(=C2)OC(=O)C1C)C,171,C=C1CCCC2(C1CC1C(=C2)OC(=O)C1C)C
C=C1CCCC2(C1CC1=C(C)C(=O)OC1(C2)O)C,172,C=C1CCCC2(C1CC1=C(C)C(=O)OC1(C2)O)C
OC/C=C/C#CC#C/C=C/C=C/C(CCOC(=C)CC(C)C)O,173,OC/C=C/C#CC#C/C=C/C=C/C(CCOC(=C)CC(C)C)O
